Name,Year,Duration,Genre,Rating,Director,Actor 1,Actor 2,Actor 3
 ,2019.0,121.0,Drama,5.841621416845562,J.S. Randhawa,Manmauji,Birbal,Rajendra Bhatia
#Gadhvi (He thought he was Gandhi),2019.0,109.0,Drama,7.0,Gaurav Bakshi,Rasika Dugal,Vivek Ghamande,Arvind Jangid
#Homecoming,2021.0,90.0,"Drama, Musical",5.841621416845562,Soumyajit Majumdar,Sayani Gupta,Plabita Borthakur,Roy Angana
#Yaaram,2019.0,110.0,"Comedy, Romance",4.4,Ovais Khan,Prateik,Ishita Raj,Siddhant Kapoor
...And Once Again,2010.0,105.0,Drama,5.841621416845562,Amol Palekar,Rajat Kapoor,Rituparna Sengupta,Antara Mali
...Aur Pyaar Ho Gaya,1997.0,147.0,"Comedy, Drama, Musical",4.7,Rahul Rawail,Bobby Deol,Aishwarya Rai Bachchan,Shammi Kapoor
...Yahaan,2005.0,142.0,"Drama, Romance, War",7.4,Shoojit Sircar,Jimmy Sheirgill,Minissha Lamba,Yashpal Sharma
.in for Motion,2008.0,59.0,Documentary,5.841621416845562,Anirban Datta,Unknown,Unknown,Unknown
?: A Question Mark,2012.0,82.0,"Horror, Mystery, Thriller",5.6,Allyson Patel,Yash Dave,Muntazir Ahmad,Kiran Bhatia
@Andheri,2014.0,116.0,"Action, Crime, Thriller",4.0,Biju Bhaskar Nair,Augustine,Fathima Babu,Byon
1:1.6 An Ode to Lost Love,2004.0,96.0,Drama,6.2,Madhu Ambat,Rati Agnihotri,Gulshan Grover,Atul Kulkarni
1:13:7 Ek Tera Saath,2016.0,120.0,Horror,5.9,Arshad Siddiqui,Pankaj Berry,Anubhav Dhir,Hritu Dudani
100 Days,1991.0,161.0,"Horror, Romance, Thriller",6.5,Partho Ghosh,Jackie Shroff,Madhuri Dixit,Javed Jaffrey
100% Love,2012.0,166.0,"Comedy, Drama, Romance",5.7,Rabi Kinagi,Jeet,Koyel Mallick,Sujoy Ghosh
101 Ratein,1990.0,108.0,Thriller,5.841621416845562,Harish,Saraswati,Disco Shanti,Unknown
